Textbox554,Textbox598,Textbox510,Textbox466,Textbox7,Textbox35,Textbox62,Textbox134,Textbox141,Textbox144,Textbox148,Textbox171,Textbox158,Textbox161,Textbox168,Textbox151,Textbox299,Textbox6,Textbox8,Textbox10,Textbox12,Textbox14,Textbox16,Textbox18,Textbox22,Textbox24,Textbox26,Textbox66,Textbox36,Textbox34,Textbox32,Textbox30,Textbox28,Textbox63,Textbox61,Textbox58,Textbox56,Textbox54,Textbox50,Textbox48,Textbox46,Textbox44,Textbox42,Textbox40,Textbox65,Textbox85,Textbox83,Textbox81,Textbox79,Textbox77,Textbox73,Textbox87,Textbox71,Textbox152,Textbox69,Textbox67,Textbox38,LOCATION_NAME,IMS_YEAR,TN_PROPOSALS,TN_LEN,TN_AMT,POP1000,POP999,POP499,POP250,TU_PROPOSALS,TU_LEN,TU_AMT,TN_PROPOSALS_LSB,TOT_PROP,TOT_LEN,TOT_AMT,FUNDS_RELEASED,CN_PROPOSALS,CN_LEN,CN_AMT,CPOP1000,CPOP999,CPOP499,CPOP250,CU_PROPOSALS,CU_LEN,CU_AMT,CTOT_PROP,CTOT_LEN,CTOT_AMT,CCN_PROPOSALS,CCN_LEN,CCN_AMT,CCPOP1000,CCPOP999,CCPOP499,CCPOP2501,CCU_PROPOSALS,CCU_LEN,CCU_AMT,TN_COMPLETED_LSB,CCTOT_PROP,CCTOT_LEN,CCTOT_AMT,Textbox174,Textbox175,Textbox176,Textbox177,Textbox178,Textbox179,Textbox180,Textbox181,Textbox182,Textbox183,Textbox184,Textbox172,Textbox185,Textbox186,Textbox187,Textbox188,Textbox189,Textbox190,Textbox191,Textbox192,Textbox193,Textbox194,Textbox9,Textbox196,Textbox197,Textbox198,Textbox199,Textbox200,Textbox201,Textbox157,Textbox203,Textbox159,Textbox205,Textbox206,Textbox207,Textbox208,Textbox209,Textbox210,Textbox166,Textbox160,Textbox212,Textbox213,Textbox214,Textbox215,Textbox216,Textbox217,Textbox218,Textbox219,Textbox220,Textbox221,Textbox222,Textbox223,Textbox224,Textbox225,Textbox165,Textbox226,Textbox227,Textbox228,Textbox229,Textbox230,Textbox231,Textbox232,Textbox233,Textbox234,Textbox235,Textbox149,Textbox237,Textbox238,Textbox239,Textbox240,Textbox241,Textbox242,Textbox90,Textbox244,Textbox92,Textbox246,Textbox247,Textbox248,Textbox249,Textbox250,Textbox251,Textbox142,Textbox162,Textbox253,Textbox254,Textbox255,Textbox642
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2007 - 2008,1,0.690,15.11,0,0,0,0,68,94.495,"2,297.82",0,69,95.185,"2,312.93",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2012 - 2013,6,14.450,856.28,0,4,0,0,21,40.550,"1,458.21",2,27,55.000,"2,314.49",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2014 - 2015,0,0.000,0.00,0,0,0,0,34,66.705,"2,716.26",0,34,66.705,"2,716.26",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2016 - 2017,0,0.000,0.00,0,0,0,0,15,36.280,"2,934.47",1,15,36.280,"2,934.47",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2017 - 2018,0,0.000,0.00,0,0,0,0,12,49.160,"1,358.57",0,12,49.160,"1,358.57",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2018 - 2019,0,0.000,0.00,0,0,0,0,33,81.150,"3,405.83",1,33,81.150,"3,405.83",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2019 - 2020,0,0.000,0.00,0,0,0,0,18,79.850,"4,246.96",0,18,79.850,"4,246.96",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2020 - 2021,0,0.000,0.00,0,0,0,0,10,37.630,"1,773.96",0,10,37.630,"1,773.96",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2021 - 2022,0,0.000,0.00,0,0,0,0,14,74.926,"4,542.88",0,14,74.926,"4,542.88",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2022 - 2023,0,0.000,0.00,0,0,0,0,0,0.000,598.07,1,0,0.000,598.07,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dharmapuri,2023 - 2024,0,0.000,0.00,0,0,0,0,23,89.885,"6,049.25",2,23,89.885,"6,049.25",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,0,0.000,,0,0,0,0,0,0.000,0.00,0,0,0.000,0.00,Total,37,77.550,"2,046.18",4,29,0,0,287,701.333,"32,572.30",7,324,778.883,"34,618.48",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,15.860,,1,7,0,0,8,11.900,0.00,0,19,27.760,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dindigul,2000 - 2001,19,30.170,297.52,0,31,0,0,12,23.500,219.68,0,31,53.670,517.20,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,19,29.960,,0,31,0,0,12,23.500,0.00,0,31,53.460,0.00,Total,76,184.035,"3,177.61",5,72,0,0,292,785.079,"31,812.06",2,368,969.114,"34,989.67",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,50,112.900,,4,53,0,0,14,26.000,0.00,0,64,138.900,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
Pradhan Mantri Gram Sadak Yojana,Monthly Report Format for Physical & Financial Progress under PMGSY,State: Tamil Nadu     District: All Districts     Block: All Blocks     Year: 2007     Month: January     Collaboration: All Collaborations     Agency:  Rural Development and Panchayat Raj Department  Scheme: All Scheme,Note : All Costs and Expenditures in Lakhs and Length in Kms.,Clearance,Progress During Month,Cumulative Progress,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,New Connectivity,Upgradation,Total,Sr.No.,Sanction Year,Nos.,Length,Cost,1000+,999-500,499-250 (Eligible),Nos.,Length,Cost,LSB Nos.,Road Nos.,Road Length,Cost,Funds Released,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,Nos.,Length,Expenditure,Nos.,Length,Expenditure,1000+,999-500,499-250 (Eligible),Nos.,Length,Expenditure,LSB Nos.,Road Nos.,Road Length,Expenditure,Dindigul,2001 - 2002,14,41.810,910.20,0,12,0,0,2,2.500,25.39,0,16,44.310,935.59,0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,11,28.110,,0,12,0,0,2,2.500,0.00,0,13,30.610,0.00,Total,76,184.035,"3,177.61",5,72,0,0,292,785.079,"31,812.06",2,368,969.114,"34,989.67",0.00,0,0.000,0.00,0,0,0,0,0,0.000,0.00,0,0.000,0.00,50,112.900,,4,53,0,0,14,26.000,0.00,0,64,138.900,0.00,Grand Total,"1,899","3,701.113","63,963.98",555,"1,430",0,0,"8,453","22,876.665","10,38,888.54",214,"10,352","26,577.778","11,02,852.52",0.00,10,30.480,0.00,0,6,0,0,2,6.710,0.00,12,37.190,0.00,"1,308","2,431.220",,498,987,0,0,504,890.944,0.00,0,"1,812","3,322.164",0.00,"Page 1 of 1     Generated on : 13/03/2025 22:45 PM     2014 NRRDA, All rights reserved"
